"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2019,1057,"UN Development Coordination Office","Non-core resources - TOSSD only",,2019000024,434,Chile,"South America","UN Resident Coordinator system","UN Resident Coordinator system",,17,,,150,"Government & Civil Society",15123,"Administration of developing countries' foreign aid",8421,"Foreign affairs",O,"Public administration and defence; compulsory social security",41000,,,41149,"United Nations Development Coordination Office","UN Development Coordination Office",G01,"Administrative costs not included elsewhere",110,"Standard grant",,,,,2,2,1353.695,1496.490331948,1353.695,1496.490331948,0,0,0,0,0,,,,,TOSSD
2019,1015,"Development Bank of Latin America","Development Bank of Latin America",,2019900012,434,Chile,"South America","Aggregated disbursements",,,,"All CAF´s operations are developed under the compliance of environmental and social safeguards. The Environmental Sustainability and Climate Change Strategy, within the framework of CAF's comprehensive development agenda, promotes migration to low-carbon and climate-resilient economies, with green infrastructure and a sustainable productive transformation, by providing shareholder countries with technical, financial and knowledge resources to promote the implementation of the United Nations 2030 Agenda. See more at https://www.caf.com/es/lineamientos-y-salvaguardas-ambientales/.",,998,"Unallocated / Unspecified",99810,"Sectors not specified",0,,,,,,,,,,C01,Projects,421,"Standard loan",,,,,1,1,0,0,1088000,1202768.3349347,0,0,0,0,0,0,,,,TOSSD
2020,431,Brazil,"National Council for Scientific and Technological Development",190311/2017-7,2020000301,434,Chile,"South America","Scholarships in Brasil (Masters)",Arts,,4.B,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,11000,,,11004,"Other public entities in donor country",,E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0.58193668528864,0.77158813348214,0,0,0,0,0,,,,,TOSSD
2020,1057,"UN Development Coordination Office","Non-core resources - TOSSD only",,2020000024,434,Chile,"South America","UN Resident Coordinator system","UN Resident Coordinator system",,17,,,150,"Government & Civil Society",15123,"Administration of developing countries' foreign aid",8421,"Foreign affairs",O,"Public administration and defence; compulsory social security",41100,,,41149,"United Nations Development Coordination Office","UN Development Coordination Office",G01,"Administrative costs not included elsewhere",110,"Standard grant",,,,,2,2,1353.976,1468.9213265641,1353.976,1468.9213265641,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_670861,2020002868,434,Chile,"South America","NODO platform: Improving social protection and inclusion of the elderly through ICT",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",,160,"Other social infrastructure and services",16010,"Social Protection",8430,"Compulsory social security activities",O,"Public administration and defence; compulsory social security",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,109.72496,119.04002271856,109.72496,119.04002271856,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_654683,2020002197,434,Chile,"South America","Chile REDD-plus results-based payments for results period 2014-2016",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION|#MITIGATION,310,"Agriculture, Forestry, Fishing",31220,"Forestry development",210,"Silviculture and other forestry activities",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,46.26077,50.188062149015,46.26077,50.188062149015,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_640674,2020000992,434,Chile,"South America","Programa Nacional ONU-REDD Chile",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#MITIGATION,310,"Agriculture, Forestry, Fishing",31210,"Forestry policy and administrative management",2,"Forestry and logging",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,211.71933,229.69316965947,211.71933,229.69316965947,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_631884,2020000768,434,Chile,"South America","Strengthening the Adaptive Capacity to Climate Change in the Fisheries and Aquaculture Sector (FSP)",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION,310,"Agriculture, Forestry, Fishing",31381,"Fishery education/training",3,"Fishing and aquaculture",A,"Agriculture, forestry and fishing",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,334.35841,362.74365215118,334.35841,362.74365215118,0,0,0,0,0,,,,,TOSSD
2020,932,"Food and Agriculture Organisation","Voluntary earmarked contributions - global and TOSSD-only activities",PRJ_652763,2020001963,434,Chile,"South America","Actualizacion del Plan de Adaptación al cambio Climático del sector Silvoagropecuario",,,,"The SDGs are central in FAO’s overall theory of change under its Strategic Framework. Key SDGs and their indicators, including all indicators for which FAO is custodian or contributing agency, are used to promote focus, track progress and express aspirations at the level of medium/long-term outcome/impact.",#ADAPTATION,430,"Other Multisector",43071,"Food security policy and administrative management",841,"Administration of the State and the economic and social policy of the community",O,"Public administration and defence; compulsory social security",41300,,,41301,"Food and Agricultural Organisation","Food and Agricultural Organisation",D02,"Other technical co-operation",110,"Standard grant",,,,,1,1,9.33938,10.132243451055,9.33938,10.132243451055,0,0,0,0,0,,,,,TOSSD
2020,1015,"Development Bank of Latin America","Development Bank of Latin America",,2020900012,434,Chile,"South America","Aggregated disbursements",,,,"All CAF´s operations are developed under the compliance of environmental and social safeguards. The Environmental Sustainability and Climate Change Strategy, within the framework of CAF's comprehensive development agenda, promotes migration to low-carbon and climate-resilient economies, with green infrastructure and a sustainable productive transformation, by providing shareholder countries with technical, financial and knowledge resources to promote the implementation of the United Nations 2030 Agenda. See more at https://www.caf.com/es/lineamientos-y-salvaguardas-ambientales/.",,998,"Unallocated / Unspecified",99810,"Sectors not specified",0,,,,,,,,,,C01,Projects,421,"Standard loan",,,,,1,1,0,0,827000,897207.88039705,0,0,0,0,0,0,,,,TOSSD
2021,358,Mexico,"National Council for Science and Technology",,2021358245,434,Chile,"South America","Becas en áreas de Físico-matemáticas y ciencias dela tierra;  Biología y química; Medicina y ciencias de la salud; Humanidades y ciencias de la conducta; Ciencias sociales; Biotecnología y ciencias agropecuarias, Ingenierías y otros",Chile,,4.b;4.4,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","Centros de Investigación CONACYT, Universidades Públicas",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,597.9147459,759.22281664921,0,0,0,0,0,,,,,TOSSD
2021,974,UNFPA,UNFPA,"08 - Youth leadership and participation",2021004648,434,Chile,"South America","08 - Youth leadership and participation","08 - Youth leadership and participation",,16.7,,,110,Education,11230,"Basic life skills for adults",854,"Other education",P,Education,,,,,,,C01,Projects,110,"Standard grant",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",,,1,1,3.594564786,3.6906566793516,3.594564786,3.6906566793516,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Foreign Affairs",N/A,2021002998,434,Chile,"South America","6 merit scholarships for foreign undergraduate students in Brazil","Scholarships paid by the Ministry of Foreign Affairs to support graduate and post-graduate students from southern countries in Brazil",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,11000,,,11001,"Central Government","Ministério da Educação",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0.69239332096475,0.84907458189633,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88887.575201/2020-00,2021002974,434,Chile,"South America","PRINT - Institutional Program for Internationalization","YOUNG TALENT. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DE SÃO PAULO",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,19.680890538033,24.134467215317,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88887.573522/2020-00,2021002957,434,Chile,"South America","PRINT - Institutional Program for Internationalization","VISITING PROFESSOR. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DE PELOTAS",E02,"Imputed student costs",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",0,0,0,0,3.4879406307978,4.2772245819,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88887.571395/2020-00,2021002722,434,Chile,"South America","PRINT - Institutional Program for Internationalization","SENIOR VISITING TEACHER. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE",D02,"Other technical co-operation",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,17.19,21.079914581586,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,Others,2019/19655-3,2021002718,434,Chile,"South America","Scholarship Abroad","Research. Support provided by the Research Support Foundation of the State of São Paulo",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","European Southern Observatory, La Serena Office",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0.10028014842301,0.12297248184908,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,Others,2021/08205-7,2021002576,434,Chile,"South America","Scholarship Abroad","Master's Research Internship. Support provided by the Research Support Foundation of the State of São Paulo",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","Universidad de La Frontera",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.1968645640074,5.1465704781712,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88881.283993/2018-01,2021002300,434,Chile,"South America","Students-Graduate Program Agreement - PEC-PG","doctorate degree. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE DE SÃO PAULO",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.8979591836735,6.0063153703277,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88881.154490/2017-01,2021002299,434,Chile,"South America","Students-Graduate Program Agreement - PEC-PG","doctorate degree. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (SEDE)",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.8979591836735,6.0063153703277,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",88881.283993/2018-01,2021002105,434,Chile,"South America","Students-Graduate Program Agreement - PEC-PG","DOCTORATE. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE DE SÃO PAULO",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",88881.154490/2017-01,2021002104,434,Chile,"South America","Students-Graduate Program Agreement - PEC-PG","DOCTORATE. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO (SEDE)",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88887.572364/2020-00,2021002059,434,Chile,"South America","PRINT - Institutional Program for Internationalization (for non-Brazilians)","DOCTORAL STAY. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,10.19,12.495888864826,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88881.623235/2021-01,2021002058,434,Chile,"South America","PDSE - Sandwich Doctoral Program Abroad (for non-Brazilians)","DOCTORAL STAY. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDAD AUSTRAL DE CHILE",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,7.59,9.3075364557441,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Coordination for the Improvement of Higher Education Personnel",88881.622965/2021-01,2021002057,434,Chile,"South America","PDSE - Sandwich Doctoral Program Abroad (for non-Brazilians)","DOCTORAL STAY. Support provided by the Coordination of the Improvement of Higher Education Staff",,4.b;4.7,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDAD DE SANTIAGO DE CHILE",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,7.41,9.0868043658845,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001983,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN THEATER. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DE MINAS GERAIS",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001832,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN PHILOSOPHY. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE ESTADUAL DE CAMPINAS",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001774,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN PEDAGOGY. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001694,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN MUSIC. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE DE SÃO PAULO",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001539,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN MEDICINE. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021001144,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN ENGLISH AND PORTUGUESE LANGUAGES. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,"Ministry of Education",N/A,2021000787,434,Chile,"South America","Students-Undergraduate Program Agreement - PEC-G","DEGREE IN CINEMA AND AUDIOVISUAL. Support provided by the Ministry of Education",,4.b,,,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","UNIVERSIDADE FEDERAL FLUMINENSE",E01,"Scholarships/training in donor country",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.0698126159555,4.9907680225366,0,0,0,0,0,,,,,TOSSD
2021,909,"Inter-American Development Bank Group","Inter-American Development Bank Group",CH-T1216&ATN/OC-17702-CH,2021000771,434,Chile,"South America","Support for Portfolio Execution and Dialogue in Chile","Provide technical support to the Ministry of Education of Chile for the implementation of reforms and programs in the areas of technical and vocational education, educational innovation, and education management.",https://www.iadb.org/en/project/CH-T1216,,,,110,Education,11320,"Upper Secondary Education (modified and includes data from 11322)",8521,"General secondary education",P,Education,46000,,,46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","INTER-AMERICAN DEVELOPMENT BANK",C01,Projects,110,"Standard grant",,,,,1,1,0,0,18.01808,18.499749277044,0,0,0,0,0,,,,,TOSSD
2021,909,"Inter-American Development Bank Group","Inter-American Development Bank Group",CH-T1170&ATN/OC-15832-CH,2021000757,434,Chile,"South America","Monitoring and Evaluation of the Education Reforms in Chile","The objective of this TC is to generate knowledge to support public policy development regarding the implementation of the Inclusion Law and the analysis of alternatives to the current financing formula in Chile. The TC will develop studies on the structure and efficiency of educational expenditures in schools and local education management units. In addition, the TC will develop tools to strengthen the Superintendencia de Educacion financial accountability process.",https://www.iadb.org/en/project/CH-T1170,,,,110,Education,11220,"Primary education",851,"Pre-primary and primary education",P,Education,46000,,,46012,"Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund","INTER-AMERICAN DEVELOPMENT BANK",C01,Projects,110,"Standard grant",,,,,1,1,0,0,64.62664,66.354275073582,0,0,0,0,0,,,,,TOSSD
2021,909,"Inter-American Development Bank Group","Inter-American Development Bank Group",CH-L1082&3380/OC-CH,2021000743,434,Chile,"South America","Early Childhood Education Expansion and Improvement Program","The purpose of this operation is to support the process of expansion of early education services in Chile by increasing coverage and incorporating high standards in infrastructure, equipment and services Specifically, the program: (i) will support to close the service gaps by increasing coverage by building new centers; (ii) support the qualiy agenda for early education of the government by improving and enrichment the care and education experience of children attending the public early education centers.",https://www.iadb.org/en/project/CH-L1082,,,,110,Education,11240,"Early childhood education",851,"Pre-primary and primary education",P,Education,12000,,,12001,"Central Government","MINISTERIO DE EDUCACIÃNÂ ",C01,Projects,421,"Standard loan",,,,,1,1,0,0,0,0,6627.61904,6804.7922166937,0,0,0,1,54,,,TOSSD
2021,909,"Inter-American Development Bank Group","Inter-American Development Bank Group",CH-L1081&3629/OC-CH,2021000742,434,Chile,"South America","Program to Strengthen Education Sector Management","The program objective is to improve the quality of the public education system in Chile by strengthening and/or creating leadership and technical/pedagogical support capabilities at the central and local levels of the system",https://www.iadb.org/en/project/CH-L1081,4.c;4.1,,,110,Education,11220,"Primary education",851,"Pre-primary and primary education",P,Education,12000,,,12001,"Central Government","DIRECCION DE EDUCACION PUBLICA",C01,Projects,421,"Standard loan",,,,,1,1,0,0,50000,51336.627645799,0,0,0,0,0,1,73,,,TOSSD
2021,431,Brazil,Others,N/A,2021000113,434,Chile,"South America","Maintenance costs of foreign students enrolled in master's courses in 2021 at Fiocruz","3 Master students. Support provided by the Oswaldo Cruz Foundation",,4.c;4.4;3.c,,#DEVELOPMENT,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","Fundação Oswaldo Cruz",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,15.872265306122,19.463990510142,0,0,0,0,0,,,,,TOSSD
2021,431,Brazil,Others,N/A,2021000051,434,Chile,"South America","Maintenance costs of foreign students enrolled in doctoral courses in 2021 at Fiocruz","1 PhD student. Support provided by the Oswaldo Cruz Foundation",,4.c;4.4;3.c,,#DEVELOPMENT,110,Education,11420,"Higher education",8530,"Higher education",P,Education,51000,,,51000,"University, college or other teaching institution, research institute or think-tank","Fundação Oswaldo Cruz",E01,"Scholarships/training in donor country",110,"Standard grant",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,6.1047179962894,7.4861508962452,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_3.1.2,2021004023,434,Chile,"South America","4_434_41702_3.1.2 3.1 Determinants of health addressed","4_434_41702_3.1.2 Countries enabled to address environmental determinants of health, including climate change",,3.9;3.8;3.4,,,120,Health,12350,"Other prevention and treatment of NCDs",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.45,0.46202964881219,0.45,0.46202964881219,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_3.1.2,2021004023,434,Chile,"South America","4_434_41702_3.1.2 3.1 Determinants of health addressed","4_434_41702_3.1.2 Countries enabled to address environmental determinants of health, including climate change",,3.9;3.8;3.4,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,0.45,0.46202964881219,0.45,0.46202964881219,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_3.1.1,2021004022,434,Chile,"South America","4_434_41702_3.1.1 3.1 Determinants of health addressed","4_434_41702_3.1.1 Countries enabled to address social determinants of health across the life course",,3.9;3.8;3.4,,,120,Health,12250,"Infectious disease control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.19,1.22181173797,1.19,1.22181173797,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_3.1.1,2021004022,434,Chile,"South America","4_434_41702_3.1.1 3.1 Determinants of health addressed","4_434_41702_3.1.1 Countries enabled to address social determinants of health across the life course",,3.9;3.8;3.4,,,120,Health,12350,"Other prevention and treatment of NCDs",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,1.19,1.22181173797,1.19,1.22181173797,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_13.2.2,2021004021,434,Chile,"South America","4_434_41702_13.2.2 13.2 Proven prevention strategies for priority pandemic-/epidemic-prone diseases implemented at scale","4_434_41702_13.2.2 Proven prevention strategies for priority pandemic-/epidemic-prone diseases implemented at scale",,3.d,,#COVID-19,120,Health,12264,"COVID-19 control",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,796.1,817.38178537641,796.1,817.38178537641,0,0,0,0,0,,,,,TOSSD
2021,928,"World Health Organisation","In-kind contributions - regional and global (non-developmental)",4_434_41702_1.3.5,2021004020,434,Chile,"South America","4_434_41702_1.3.5 1.3 Improved access to essential medicines, vaccines, diagnostics and devices for primary health care","4_434_41702_1.3.5 Countries enabled to address antimicrobial resistance through strengthened surveillance systems, laboratory capacity, infection prevention and control, awareness-raising and evidence-based policies and practices",,3.b;3.8,,,120,Health,12110,"Health policy and administrative management",86,"Human health activities",Q,"Human health and social work activities",41700,,,41702,"World Health Organisation - non-core",WHO-non-core,C01,Projects,110,"Standard grant",,,,,1,1,3.895,3.9991232936077,3.895,3.9991232936077,0,0,0,0,0,,,,,TOSSD
