"Reporting year","Provider country/institution - code","Provider country/institution - name","Provider agency","Provider project number","TOSSD ID Number","TOSSD recipient - code","TOSSD recipient - name",Region,"Project title",Description,"External link","SDG focus","SDG goal level explanation",Keywords,"Sector category - code","Sector category - name","Purpose code","Purpose name",ISICcode,"ISIC name","ISIC lvl","ISIC description letter lvl","Channel category - code","Channel category - name","Other Partners","Channel - code","Channel - name",Channel,"Modality - code","Modality - name","Financial instrument - code","Financial instrument - name","Financing arrangement - code","Financing arrangement - name","Framework of collaboration - code","Framework of collaboration - name","TOSSD pillar","TOSSD sub-pillar","Amount committed (USD thousand)","Deflated Amount committed (USD thousand)","Amount disbursed (USD thousand)","Deflated amount disbursed (USD thousand)","Reflows to the provider (USD thousand)","Deflated reflows to the provider (USD thousand)","Amount mobilised  (USD thousand)","Deflated amount mobilised  (USD thousand)","Salary cost (PPPs)",Concessionality,"Maturity (in months)","Leveraging mechanism","Origin of the funds mobilised","Source name"
2021,454,Peru,"Public Procurement Office",,2021000030,434,Chile,"South America","INTERCAMBIO DE EXPERIENCIAS EN EL MARCO DEL COMPROMISO 6 DEL PLAN DE ACCION DE PARACAS DEL  EJE III DEL ACUERDO BINACIONAL PERU – CHILE; COMERCIO EXTERIOR, INVERSIONES, TURISMO Y COOPERACIÓN EN CIENCIA Y TECNOLOGÍA, ENTRE CHILECOMPRA Y PERÚ COMPRAS","Suscribir un Memorándum de Entendimiento (MdE) entre la Dirección de Compras y Contratación Pública  de Chile Compra y la Central de Compras Públicas - PERÚ COMPRAS, con la finalidad de fomentar la eficiencia y transparencia de los sistemas de compra nacionales, a través del intercambio de experiencias. Para tal efecto, se elaborará e implementará el Plan de Trabajo 2019-2020.",,12.7,,,150,"Government & Civil Society",15125,"Public Procurement",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","DIRECCIÓN DE COMPRAS Y CONTRATACIÓN PÚBLICA, DIRECCIÓN CHILECOMPRA",D01,"In-kind technical co-operation experts",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2021,454,Peru,"Public Procurement Office",,2021000027,434,Chile,"South America","INTERCAMBIO DE EXPERIENCIAS  ENTRE  LA DIRECCION DE COMPRAS Y CONTRATACIONES PÚBLICAS  - CHILECOMPRA  Y LA CENTRAL DE COMPRAS PÚBLICAS - PERÚ COMPRAS.","CONTINUAR CON LAS ACTIVIDADES DE INTERCAMBIO DE EXPERIENCIAS INICIADAS EN EL AÑO 2020.",,12.7,,,150,"Government & Civil Society",15125,"Public Procurement",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","DIRECCIÓN DE COMPRAS Y CONTRATACIÓN PÚBLICA, DIRECCIÓN CHILECOMPRA",D01,"In-kind technical co-operation experts",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2021,1057,"UN Development Coordination Office","Non-core resources - TOSSD only",,2021000024,434,Chile,"South America","UN Resident Coordinator system","UN Resident Coordinator system",,17,,,150,"Government & Civil Society",15123,"Administration of developing countries' foreign aid",8421,"Foreign affairs",O,"Public administration and defence; compulsory social security",41100,,,41149,"United Nations Development Coordination Office","UN Development Coordination Office",G01,"Administrative costs not included elsewhere",110,"Standard grant",,,,,2,2,1500.515,1540.6275966387,1500.515,1540.6275966387,0,0,0,0,0,,,,,TOSSD
2021,454,Peru,"Public Procurement Regulatory Agency",,2021000017,434,Chile,"South America","EVENTO VIRTUAL: TRANSFORMANDO LA GESTIÓN PÚBLICA GRACIAS A LA INNOVACIÓN: APLICACIÓN EN CONTRATACIÓN PÚBLICA.","Conocer las experiencias nacionales e internaciones sobre transformación de la gestión estatal a través de la innovación.",,12.7,,,150,"Government & Civil Society",15125,"Public Procurement",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","LABORATORIO DE GOBIERNO DE CHILE",D01,"In-kind technical co-operation experts",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2021,454,Peru,Others,,2021000007,434,Chile,"South America","Dinamizar el Etnoturismo de Gastronomía y de Naturaleza del Departamento de Amazonas de Colombia","Fortalecimiento de herramientas sobre transparencia e integridad en las políticas anticorrupción, con énfasis en gestión de intereses y gestión de conflicto de intereses.",,16.5,,,150,"Government & Civil Society",15113,"Anti-corruption organisations and institutions",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","COMISIÓN PARA LA INTEGRIDAD PÚBLICA Y TRANSPARENCIA (MINSEGPRES)",D01,"In-kind technical co-operation experts",2100,"Direct provider spending",,,FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0,0,0,0,0,0,0,,,,,TOSSD
2021,358,Mexico,"Institute National Institute of Statistics and Geography",PR-22SNG029-02794,2021358012,434,Chile,"South America","Plataforma de gestión censal OPERA con el Instituto Nacional de Estadísticas de Chile","Dar a conocer la implementación y funcionamiento de la plataforma de gestión censal denominada OPERA, tanto en sus funcionalidades como en las características de infraestructura para el operativo del Censo de Población y Vivienda 2020.",,17.18,,,160,"Other social infrastructure and services",16062,"Statistical capacity building",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","Instituto Nacional de Estadísticas de Chile",D011,"(for SSC providers only) In-kind technical cooperation. Experts costs",2100,"Direct provider spending",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,1.676,2.1281586537705,0,0,0,0,0.15027451998678,,,,,TOSSD
2021,358,Mexico,"Institute National Institute of Statistics and Geography",PR-22SNG269-02793,2021358011,434,Chile,"South America","Experiencia del INEGI en el uso de la plataforma Yammer de Microsoft con el Instituto Nacional de Estadísticas de Chile","Conocer la experiencia del INEGI en la implementación y uso de la plataforma Yammer de Microsoft, así como el proceso para promover su uso entre la comunidad del Instituto.",,17.18,,,160,"Other social infrastructure and services",16062,"Statistical capacity building",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","Instituto Nacional de Estadísticas de Chile",D011,"(for SSC providers only) In-kind technical cooperation. Experts costs",2100,"Direct provider spending",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,0.559,0.70980947939005,0,0,0,0,0.050121394196068,,,,,TOSSD
2021,358,Mexico,"Institute National Institute of Statistics and Geography",PR-22SNG330-02792,2021358010,434,Chile,"South America","Estándar de Calidad de las Estimaciones en Encuestas Económicas con el Instituto Nacional de Estadísticas de Chile","Establecer criterios para la revisión de la calidad de las estimaciones sujetas a ser publicables en las encuestas económicas del INE de Chile, considerando los siguientes: Tamaño de la muestra, Nivel de estimación, Tasa logro objetivo, Grados de libertad, Error estándar, Coeficiente de variación, así como conocer si el tabulado cuenta con una cantidad mínima de estimaciones fiables.",,17.18,,,160,"Other social infrastructure and services",16062,"Statistical capacity building",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","Instituto Nacional de Estadísticas de Chile",D011,"(for SSC providers only) In-kind technical cooperation. Experts costs",2100,"Direct provider spending",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,1.334,1.693892389099,0,0,0,0,0.11960991029974,,,,,TOSSD
2021,358,Mexico,"Institute National Institute of Statistics and Geography",PR-22SNG212-02791,2021358009,434,Chile,"South America","Innovación en los productos estadísticos y geográficos con el Instituto Nacional de Estadísticas de Chile","Conocer la experiencia del INEGI sobre el manejo de innovaciones y cómo son gestionadas, en particular en los siguientes temas:- Modelo de orientación a usuarios.- Catálogo de segmentos.- Usuarios obligados y no obligados pero estratégicos y los menos especializados",,17.18,,,160,"Other social infrastructure and services",16062,"Statistical capacity building",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","Instituto Nacional de Estadísticas de Chile",D011,"(for SSC providers only) In-kind technical cooperation. Experts costs",2100,"Direct provider spending",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,1.471,1.8678528518475,0,0,0,0,0.13189368669484,,,,,TOSSD
2021,358,Mexico,"Institute National Institute of Statistics and Geography",PR-22SNG945-02790,2021358008,434,Chile,"South America","Proyecto -Desarrollo de Estadísticas de Precios de Servicios que facilita la competitividad y el emprendimiento- con el Instituto Nacional de Estadísticas de Chile.","Construir y mejorar colaborativamente en términos metodológicos y operativos los índices de Precios de Productores de Servicios en México y Chile específicamente en el sector financiero y de seguros además de las contribuciones en lo general y otros sectores que puedan derivarse del intercambio de conocimientos, contribuyendo así a la competitividad de ambos países.",,17.18,,,160,"Other social infrastructure and services",16062,"Statistical capacity building",8411,"General public administration activities",O,"Public administration and defence; compulsory social security",12000,,,12001,"Central Government","Instituto Nacional de Estadísticas de Chile",D011,"(for SSC providers only) In-kind technical cooperation. Experts costs",2100,"Direct provider spending",FA03,"CO-FINANCING ARRANGEMENTS INVOLVING RECIPIENT COUNTERPART FUNDS",FC01,"SOUTH-SOUTH CO-OPERATION",1,1,0,0,4.071,5.169292290871,0,0,0,0,0.36501645039748,,,,,TOSSD
