"Nombre_Partida","Nombre_Programa","String_name","partida","capitulo","codigo_programa_presupuestario","area","subtitulo","item","asignacion"
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Área Marina Protegida y Humedales",25,1,1,"NA",24,3,22
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Fondo del Reciclaje",25,1,1,"NA",24,3,17
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Programa de Recuperación Ambiental y Social (PRAS)",25,1,1,"NA",24,1,5
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Programa de Recuperación Ambiental y Social (PRAS)",25,1,1,"NA",24,3,18
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Estudios Medioamentales",25,1,1,"NA",24,3,21
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Fondo de Protección Ambiental",25,1,1,"NA",24,1,4
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","Fondo de Protección Ambiental",25,1,1,"NA",24,3,1
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","COP ",25,1,1,"NA",24,3,20
"MINISTERIO DE MEDIO AMBIENTE","SUBSECRETARÍA DE MEDIO AMBIENTE","GASTO CORRIENTE",25,1,1,"NA","NA","NA","NA"
"MINISTERIO DE MEDIO AMBIENTE","SERVICIO DE EVALUACIÓN AMBIENTAL","GASTO CORRIENTE",25,2,1,"NA","NA","NA","NA"
"MINISTERIO DE MEDIO AMBIENTE","SUPERINTENDENCIA DEL MEDIO AMBIENTE","Laboratorio de alta complejidad",25,3,1,"NA",24,3,2
"MINISTERIO DE MEDIO AMBIENTE","SUPERINTENDENCIA DEL MEDIO AMBIENTE","Programas de fiscalización ambiental",25,3,1,"NA",24,3,1
"MINISTERIO DE MEDIO AMBIENTE","SUPERINTENDENCIA DEL MEDIO AMBIENTE","GASTO CORRIENTE",25,3,1,"NA","NA","NA","NA"
"MINISTERIO DE MINERÍA","SERVICIO NACIONAL DE GEOLOGÍA Y MINERÍA","Depósito de Relaves",17,3,1,"NA",24,3,2
"MINISTERIO DE MINERÍA","SERVICIO NACIONAL DE GEOLOGÍA Y MINERÍA","GASTO CORRIENTE",17,3,1,"NA","NA","NA","NA"
"MINISTERIO DE MINERÍA","SERVICIO NACIONAL DE GEOLOGÍA Y MINERÍA","Cierre Faenas y Gestión Ambiental",17,3,1,"NA",24,3,2
"MINISTERIO DE OBRAS PÚBLICAS","SUPERINTENDENCIA DE SERVICIOS SANITARIOS","GASTO CORRIENTE",12,7,1,"NA","NA","NA","NA"
"MINISTERIO DE VIVIENDA Y URBANISMO","PARQUE METROPOLITANO","GASTO CORRIENTE",18,2,1,"NA","NA","NA","NA"
"MINISTERIO RELACIONES EXTERIORES","SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR","Instituto Chileno de Campos de Hielo",6,1,1,"NA",24,1,1
"MINISTERIO RELACIONES EXTERIORES","SECRETARÍA Y ADMINISTRACIÓN GENERAL Y SERVICIO EXTERIOR","GASTO CORRIENTE",6,1,1,"NA","NA","NA","NA"
"MINISTERIO RELACIONES EXTERIORES","DIRECCIÓN DE FRONTERAS Y LÍMITES DEL ESTADO  ","GASTO CORRIENTE",6,3,1,"NA","NA","NA","NA"
"MINISTERIO RELACIONES EXTERIORES","DIRECCIÓN DE FRONTERAS Y LÍMITES DEL ESTADO  ","Programas Especiales de Fronteras y Límites",6,3,1,"NA",24,9,45
"MINISTERIO RELACIONES EXTERIORES","DIRECCIÓN DE FRONTERAS Y LÍMITES DEL ESTADO  ","Programas Especiales de Fronteras y Límites",6,3,1,"NA",24,3,45
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO"," Consejo de Política Antártica ",6,4,1,"NA",24,3,41
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Sensores Latitudinales",6,4,1,"NA",24,9,58
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Centro Antártico Internacional",6,4,1,"NA",24,9,50
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Inversión Infraestructura en Plataformas Científico-Logísticas",6,4,1,"NA",24,9,46
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Feria Antártica Escolar ",6,4,1,"NA",24,9,44
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Áreas Marinas Protegidas",6,4,1,"NA",24,9,52
"MINISTERIO RELACIONES EXTERIORES","INSTITUTO ANTÁRTICO CHILENO","Sensores Latitudinales",6,4,1,"NA",24,3,58
