Reporting year,Provider country/institution - code,Provider country/institution - name,Provider agency,Provider project number,TOSSD ID Number,TOSSD recipient - code,TOSSD recipient - name,Region,Project title,Description,External link,SDG focus,SDG goal level explanation,Keywords,Sector category - code,Sector category - name,Purpose code,Purpose name,ISICcode,ISIC name,ISIC lvl,ISIC description letter lvl,Channel category - code,Channel category - name,Other Partners,Channel - code,Channel - name,Channel,Modality - code,Modality - name,Financial instrument - code,Financial instrument - name,Financing arrangement - code,Financing arrangement - name,Framework of collaboration - code,Framework of collaboration - name,TOSSD pillar,TOSSD sub-pillar,Amount committed (USD thousand),Deflated Amount committed (USD thousand),Amount disbursed (USD thousand),Deflated amount disbursed (USD thousand),Reflows to the provider (USD thousand),Deflated reflows to the provider (USD thousand),Amount mobilised  (USD thousand),Deflated amount mobilised  (USD thousand),Salary cost (PPPs),Concessionality,Maturity (in months),Leveraging mechanism,Origin of the funds mobilised,Source name,Weight,Weighted_Amount
2021,959,UNDP,Voluntary non-core funding,94197,2021000633,434,Chile,South America,Comp2 Nueva gestion forestal,Nuevos modelos de gestion forestal implementados para las medidas de accion directas de la Estrategia Nacional de Cambio Climatico y Recursos Vegetacionales (ENCCRV) de CONAF (Corporacion Nacional Forestal),,15.2;15.1,,,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,10000.0,,,10000.0,Public Sector Institutions,CORPORACION NACIONAL FORESTAL,C01,Projects,110.0,Standard grant,,,,,1,1,520.27957,534.18797113612,520.27957,534.18797113612,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,208.11182800000003
2021,807,UNEP,"UNEP, core and earmarked, developmental",,2021000027,434,Chile,South America,"semi-aggregate expenditures,  Chile",,,14;11,"UNEP provided aggregate expenditures by SDG goal and geographic location, top two SDG goals were retained. The institution is unable to report against SDG targets for the time being but it is firmly committed to sustainable development and the 2030 Agenda see https://www.unep.org/resources/report/united-nations-environment-programme-and-2030-agenda-global-action-people-and",,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,41100.0,,,41116.0,United Nations Environment Programme,UNEP,,,110.0,Standard grant,,,,,1,1,0.0,0.0,2445.28,2510.6485769944,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,978.1120000000001
2022,940,International Labour Organisation,Regular Budget - regional and global (non-developmental part),63210-CHL151-Output 5.4,2022002348,434,Chile,South America,"Conocimiento sobre el mercado de trabajo en pro de la equidad mejorado a través de investigaciones, estadísticas, entre otros con miras al fortalecimiento de la interacción y la integración de políticas sociales",Contribution of 63210-DWT/CO-Santiago,https://www.ilo.org/santiago/lang--en/index.htm,17.18;17.14,,,110,Education,11330.0,Vocational training,8522,Technical and vocational secondary education,P,Education,41300.0,,,41302.0,International Labour Organisation - Assessed Contributions,"ILO, International Labour Organisation",D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,51.745810508,54.536880432221,51.745810508,54.536880432221,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,20.698324203200002
2022,358,Mexico,Mexican Agency for International Development Cooperation,CL.MX/2016/12743,2022358324,434,Chile,South America,El Fondo que Queremos,Desarrollar un proceso de mejora en la operación del Fondo.,,17.9;17.18;17.14,,,150,Government & Civil Society,15110.0,Public sector policy and administrative management,8411,General public administration activities,O,Public administration and defence; compulsory social security,12000.0,,,12001.0,Central Government,,D01,In-kind technical co-operation experts,2100.0,Direct provider spending,FA01,BLENDED FINANCE,FC01,SOUTH-SOUTH CO-OPERATION,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,940,International Labour Organisation,Regular Budget - regional and global (non-developmental part),63210-CHL151-Output 5.4,2022002348,434,Chile,South America,"Conocimiento sobre el mercado de trabajo en pro de la equidad mejorado a través de investigaciones, estadísticas, entre otros con miras al fortalecimiento de la interacción y la integración de políticas sociales",Contribution of 63210-DWT/CO-Santiago,https://www.ilo.org/santiago/lang--en/index.htm,17.18;17.14,,,160,Other social infrastructure and services,16020.0,Employment creation,8413,Regulation of and contribution to more efficient operation of businesses,O,Public administration and defence; compulsory social security,41300.0,,,41302.0,International Labour Organisation - Assessed Contributions,"ILO, International Labour Organisation",D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,22.176775932,23.372948756666,22.176775932,23.372948756666,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,8.870710372800001
2022,918,EU Institutions,European Commission,JAG.104496,T2022006301,434,Chile,South America,727459 - TROPICSAFE - H2020-SFS-2016-2,"The project aims to address economically important insect-borne prokaryote-associated diseases of perennial crops (palm, citrus and grapevine) grown in tropical and subtropical areas which are seriously affecting the trade and import of agricultural products and materials worldwide. These diseases are due to the presence of `Candidatus Phytoplasma¿ associated with ¿lethal yellowing¿ in palms and ¿yellows¿ in grapevine, and `Ca. Liberibacter¿ associated with ¿Huanglongbing¿ in citrus. These disea",http://www.tropicsafe.eu/it/,9.5;8.5;6;2;15;14;13;12;11,,#BIODIVERSITY|R&D,310,"Agriculture, Forestry, Fishing",31182.0,Agricultural research,7210,Research and experimental development on natural sciences and engineering,M,"Professional, scientific and technical activities",11000.0,,,11004.0,Other public entities in donor country,Other public entities in donor country,K02,RESEARCH AND DEVELOPMENT (R&D),110.0,Standard grant,,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,358,Mexico,Mexican Agency for International Development Cooperation,CL.MX/2019/11741,2022358367,434,Chile,South America,I.Municipalidad de Tome - 152 - Implementación de equipamiento para el fortalecimiento de las faenas de pesca artesanal y elevar la calidad y venta de productos del Mar,,,14.7,,,310,"Agriculture, Forestry, Fishing",31320.0,Fishery development,3,Fishing and aquaculture,A,"Agriculture, forestry and fishing",12000.0,,,12001.0,Central Government,,D01,In-kind technical co-operation experts,2100.0,Direct provider spending,FA01,BLENDED FINANCE,FC01,SOUTH-SOUTH CO-OPERATION,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_631884,2022002972,434,Chile,South America,Strengthening the Adaptive Capacity to Climate Change in the Fisheries and Aquaculture Sector (FSP),Strengthening the Adaptive Capacity to Climate Change in the Fisheries and Aquaculture Sector (FSP),,14,,#ADAPTATION|#GENDER,310,"Agriculture, Forestry, Fishing",31381.0,Fishery education/training,3,Fishing and aquaculture,A,"Agriculture, forestry and fishing",41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,0.0,0.0,0.0,0.0,0.07675,0.080889748021742,0.0,0.0,0.0,,,,,TOSSD,0.4,0.0
2022,932,Food and Agriculture Organisation,Voluntary earmarked contributions - global and TOSSD-only activities,PRJ_654683,2022001715,434,Chile,South America,Chile REDD-plus results-based payments for results period 2014-2016,Chile REDD-plus results-based payments for results period 2014-2016,,15;13,,#ADAPTATION|#MITIGATION|#GENDER,310,"Agriculture, Forestry, Fishing",31220.0,Forestry development,210,Silviculture and other forestry activities,A,"Agriculture, forestry and fishing",41300.0,,,41301.0,Food and Agricultural Organisation,Food and Agricultural Organisation,D02,Other technical co-operation,110.0,Standard grant,,,,,1,1,4811.71715,5071.2519585068,4811.71715,5071.2519585068,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,1924.6868600000003
2022,811,Global Environment Facility,GEF - regional and global,00106038,2022900312,434,Chile,South America,Humboldt Fase 2,El objetivo es facilitar el manejo pesquero basado en ecosistemas y restauracion de ecosistemas del Sistema de la Corriente de Humboldt para la provision sostenible y resiliente de bienes y servicios de los recursos marinos vivos compartidos.,,15.2,,#GENDER,410,General Environment Protection,41010.0,Environmental policy and administrative management,8412,"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",O,Public administration and defence; compulsory social security,12000.0,,,12001.0,Central Government,SUBSECRETARIA DE PESCA,C01,Projects,110.0,Standard grant,,,,,1,1,0.0,0.0,538.09933,567.12337738591,0.0,0.0,0.0,0.0,0.0,,,,,TOSSD,0.4,215.239732
